user_in_transactions,user_with_barcode_in_products,brand,barcode
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6528a0a388a3a884364d94dc,6528a0a388a3a884364d94dc,NERDS CANDY,79200049065
6661ed1e7c0469953bfc76c4,6661ed1e7c0469953bfc76c4,PRINGLES,38000138416
6661ed1e7c0469953bfc76c4,6661ed1e7c0469953bfc76c4,PRINGLES,38000138416
6661ed1e7c0469953bfc76c4,6661ed1e7c0469953bfc76c4,PRINGLES,38000138416
6661ed1e7c0469953bfc76c4,6661ed1e7c0469953bfc76c4,PRINGLES,38000138416
5b441360be53340f289b0795,5b441360be53340f289b0795,AXE,2700717433990
5b441360be53340f289b0795,5b441360be53340f289b0795,AXE,2700717433990
5b441360be53340f289b0795,5b441360be53340f289b0795,AXE,2700717433990
5b441360be53340f289b0795,5b441360be53340f289b0795,AXE,2700717433990
632fc9dc0c625b72ae991f83,632fc9dc0c625b72ae991f83,PEPPERIDGE FARM,14100087151
632fc9dc0c625b72ae991f83,632fc9dc0c625b72ae991f83,PEPPERIDGE FARM,14100087151
632fc9dc0c625b72ae991f83,632fc9dc0c625b72ae991f83,PEPPERIDGE FARM,14100087151
632fc9dc0c625b72ae991f83,632fc9dc0c625b72ae991f83,PEPPERIDGE FARM,14100087151
647281efa55bb77a0e26f586,647281efa55bb77a0e26f586,ENTENMANN'S SWEET BAKED GOODS,72030000350
647281efa55bb77a0e26f586,647281efa55bb77a0e26f586,ENTENMANN'S SWEET BAKED GOODS,72030000350
647281efa55bb77a0e26f586,647281efa55bb77a0e26f586,ENTENMANN'S SWEET BAKED GOODS,72030000350
